Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",151.130000,-46.503500,90.000000,top
"C2","100u","CP_Elec_6.3x7.7",116.840000,-58.420000,0.000000,top
"C3","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",137.541000,-44.450000,180.000000,top
"C4","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",134.620000,-69.215000,-90.000000,top
"C5","10u","CP_Elec_6.3x5.7",112.395000,-86.995000,0.000000,top
"C6","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",125.095000,-81.280000,0.000000,top
"C7","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",158.750000,-50.800000,-90.000000,top
"C8","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",108.585000,-27.940000,-90.000000,top
"C9","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",167.640000,-47.625000,180.000000,top
"C10","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",108.585000,-58.199491,90.000000,top
"C11","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",163.195000,-47.625000,180.000000,top
"C12","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",158.750000,-61.468000,90.000000,top
"C13","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",158.750000,-47.625000,180.000000,top
"C14","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",172.085000,-47.625000,180.000000,top
"C15","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",136.525000,-91.440000,180.000000,top
"C16","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",146.050000,-59.690000,0.000000,top
"D4","US1G","D_SMA",119.380000,-71.120000,-90.000000,top
"D8","SS14","D_SMA",112.490000,-51.435000,0.000000,top
"D9","SS14","D_SMA",119.920000,-51.435000,0.000000,top
"D10","5V","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",123.952000,-95.123000,-90.000000,top
"D11","SS14","D_SMA",112.490000,-46.355000,0.000000,top
"D12","SS14","D_SMA",119.920000,-46.355000,0.000000,top
"D13","SS14","D_SMA",112.490000,-41.275000,0.000000,top
"D14","SS14","D_SMA",119.920000,-41.275000,0.000000,top
"D15","SS14","D_SMA",112.490000,-36.195000,0.000000,top
"D16","SS14","D_SMA",119.920000,-36.195000,0.000000,top
"D17","LED","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",106.680000,-51.435000,180.000000,top
"D18","LED","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",106.680000,-46.324201,180.000000,top
"D19","LED","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",106.680000,-41.244201,180.000000,top
"D20","LED","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",106.680000,-36.164201,180.000000,top
"D21","US1G","D_SMA",145.415000,-70.485000,180.000000,top
"D22","APA102","LED_RGB_5050-6",136.525000,-95.885000,180.000000,top
"D63","US1G","D_SMA",123.825000,-71.120000,-90.000000,top
"Q1","Q_PMOS_GDS","SOT-223-3_TabPin2",113.030000,-67.945000,90.000000,top
"Q2","2N7002DWK","SOT-363_SC-70-6_Handsoldering",125.155000,-78.105000,0.000000,top
"Q3","SSM3J356R","SOT-23-3",139.065000,-70.485000,-90.000000,top
"Q5","SSM3J356R","SOT-23-3",145.288000,-78.105000,180.000000,top
"Q6","SSM3J356R","SOT-23-3",140.208000,-78.105000,0.000000,top
"R1","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",114.570000,-73.660000,180.000000,top
"R2","0R15","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",126.111000,-63.500000,180.000000,top
"R3","0R15","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",125.984000,-43.815000,180.000000,top
"R4","150R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",123.952000,-91.059000,90.000000,top
"R5","2K5","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",120.650000,-84.455000,180.000000,top
"R6","100R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",120.650000,-78.105000,0.000000,top
"R7","100R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",149.098000,-78.105000,-90.000000,top
"R8","1K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",142.875000,-56.515000,-90.000000,top
"R9","1K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",149.225000,-56.515000,-90.000000,top
"R10","0","R_0603_1608Metric",160.633192,-85.013902,90.000000,top
"R11","0","R_0603_1608Metric",163.142177,-85.013902,90.000000,top
"R12","0","R_0603_1608Metric",165.693637,-85.013902,90.000000,top
"R13","0","R_0603_1608Metric",168.238465,-85.013902,90.000000,top
"R14","0","R_0603_1608Metric",170.819135,-85.013902,90.000000,top
"R15","0","R_0603_1608Metric",158.059154,-85.013902,90.000000,top
"R16","R","R_0805_2012Metric",170.815000,-29.845000,-90.000000,top
"R17","R","R_0805_2012Metric",168.241017,-29.845000,-90.000000,top
"R18","R","R_0805_2012Metric",165.719823,-29.845000,-90.000000,top
"R19","R","R_0805_2012Metric",153.035000,-29.845000,-90.000000,top
"R20","R","R_0805_2012Metric",148.977459,-29.845000,-90.000000,top
"R21","R","R_0805_2012Metric",146.410967,-29.845000,-90.000000,top
"R22","R","R_0805_2012Metric",163.195000,-29.845000,-90.000000,top
"R23","R","R_0805_2012Metric",160.655000,-29.845000,-90.000000,top
"R24","R","R_0805_2012Metric",158.103503,-29.845000,-90.000000,top
"R25","R","R_0805_2012Metric",143.877592,-29.845000,-90.000000,top
"R26","R","R_0805_2012Metric",141.344217,-29.845000,-90.000000,top
"R27","R","R_0805_2012Metric",138.827392,-29.845000,-90.000000,top
"R28","R","R_0805_2012Metric",155.575000,-29.845000,-90.000000,top
"R29","R","R_0805_2012Metric",136.277459,-29.845000,-90.000000,top
